Principio attivo;Confezione di riferimento;ATC;AIC;Farmaco;Confezione;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 15 luglio 2026;Differenza;Nota;Codice gruppo equivalenza
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;44155024;ACARBOSIO DOC GENERICI;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;39716182;ACARBOSIO TECNIGEN;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;38835144;ACARPHAGE;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;5,63 €;5,63 €;0,00 €;;H1A
